,Mẫu ,SL,,10S,QH,Chênh,,,,,,,,,,,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"4.078,61","203,93","5,00","203,93",,"0,05","4.078,61","203,93",,,,,,,,,
,Đất bãi đỗ xe,,,,,,,#REF!,,,,,,,,,,,,,,,,
"6,00",B6- CC5,"13.920,00","3.318,02","23,84","25.349,76","26.892,00","1,82","13.920,00","3.623,90","26,03","25.655,64","26.892,00","1,84","0,00","305,88",,,,,,,,,
,Đất chung cư cao tầng,"13.920,00","3.318,02","23,84","25.349,76","26.892,00","1,82","7.802,43","3.318,02","42,53","25.349,76","26.892,00","3,25","-6.117,57","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"6.117,57","305,88","5,00","305,88",,"0,05","6.117,57","305,88",,,,,,,,,
,Đất bãi đỗ xe,,,,,,,#REF!,,,,,,,,,,,,,,,,
"7,00",B6- CC6,"6.480,20","1.659,00","25,60","12.674,88","13.446,00","1,96","6.480,21","1.788,03","27,59","12.803,91","13.446,00","1,98","0,01","129,03",,,,,,,,,
,Đất chung cư cao tầng,"6.480,20","1.659,00","25,60","12.674,88","13.446,00","1,96","3.899,57","1.659,00","42,54","12.674,88","13.446,00","3,25","-2.580,63","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"2.580,64","129,03","5,00","129,03",,"0,05","2.580,64","129,03",,,,,,,,,
,Đất bãi đỗ xe,,,,,,,#REF!,,,,,,,,,,,,,,,,
"8,00",B6- CC7,"8.520,00","1.659,00","19,47","12.674,88","13.446,00","1,49","8.520,00","1.890,00","22,18","12.905,88","13.446,00","1,51","0,00","231,00",,,,,,,,,
,Đất chung cư cao tầng,"8.520,00","1.659,00","19,47","12.674,88","13.446,00","1,49","3.900,00","1.659,00","42,54","12.674,88","13.446,00","3,25","-4.620,00","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"4.620,00","231,00","5,00","231,00",,"0,05","4.620,00","231,00",,,,,,,,,
, Đất bãi đỗ xe ,,,,,,,#REF!,,,,,,,,,,,,,,,,
,B6- CC8,"9.720,00","1.659,10","17,07","12.674,88","13.446,00","1,30","9.720,00","1.949,59","20,06","12.965,37","13.446,00","1,33","0,00","290,49",,,,,,,,,
,Đất chung cư cao tầng,"9.720,00","1.659,10","17,07","12.674,88","13.446,00","1,30","3.910,20","1.659,10","42,43","12.674,88","13.446,00","3,24","-5.809,80","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00",,,,,,"5.809,80","290,49","5,00","290,49",,"0,05","5.809,80","290,49",,,,,,,,,
,Đất bãi đỗ xe,,,,,,,#REF!,,,,,,,,,,,,,,,,
,TỔNG,"472.817,70","50.844,76","10,75","1.219.477,02","1.261.516,51","2,58","472.817,72","60.658,41","12,83","1.229.290,68","1.261.516,51","2,60","0,02","9.813,66",,,,,,,,,
,Đất chung cư cao tầng,"472.817,70","50.844,76","10,75","1.219.477,02","1.261.516,51","2,58","215.312,16","50.844,76","23,61","1.219.477,02","1.261.516,51","5,66","-257.505,54","0,00",,,,,,,,,
,Đất cây xanh nhóm ở,"0,00","0,00",,,,,"196.273,12","9.813,66","5,00","9.813,66",,"0,05","196.273,12","9.813,66",,,,,,,,,
,Đất đỗ xe,"0,00",,,,,,#REF!,,,,,,#REF!,"0,00",,,,,,,,,
,Đất giao thông nội bộ,"0,00",,,,,,"45.226,00",,,,,,"45.226,00","0,00",,,,,,,,,
,Tỷ lệĐất ở ,,,,,,,"45,54",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-54,,,,,,,,,,
